target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",4.746799086162138,29.800243134,150,150,0,0,2014.706808,3419.466167,3613.818491,3669.720047
"10",1.240651042150954,29.900122775,300,48,252,84,10001.023716,10003.579264,10006.540474,10016.006802
"25",0.05004680610900782,29.960673375,750,2,748,99.73333333333333,10001.356018,10007.920092,10017.519196,10032.325814
"50",0,29.979646657,1500,0,1500,100,10001.207476,10012.735002,10040.086881,10185.294128
"75",0,30.303363312,2201,0,2201,100,10079.690338,11174.686661,11246.923711,12449.072973
"100",0,66.653710006,1498,0,1498,100,6539.233325,54664.810077,55502.103884,56229.434244
"150",0,29.991481667,4500,0,4500,100,10000.484044,10001.097318,10001.242567,10001.634144
"200",0,29.995223315,6000,0,6000,100,0.11521,6486.337891,7685.908509,7983.309032
"300",0,29.996853874,9000,0,9000,100,0.103397,2484.995188,3684.304163,3982.018363
"400",0,29.9982527,12000,0,12000,100,0.087112,6471.432956,7670.804691,7969.813847
